,count,mean,std,min,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,max,skewness,kurtosis,unique,missing,IQR,OL
rw,15784.0,60.9635707045109,9.970526333746568,27.0,42.0,47.0,50.0,53.0,55.0,57.0,58.0,60.0,61.0,62.0,63.0,64.0,65.0,67.0,68.0,69.0,71.0,73.0,76.0,94.0,-0.4033721612100997,0.006506321271376958,66,1986,13.0,19.5
lam,15784.0,60.90876837303598,9.86933779838706,29.0,43.0,47.0,51.0,53.0,55.0,57.0,58.0,59.0,61.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,73.0,76.0,95.0,-0.35835013887042255,0.04141402715038822,65,1986,13.0,19.5
cam,15784.0,60.90876837303598,9.86933779838706,29.0,43.0,47.0,51.0,53.0,55.0,57.0,58.0,59.0,61.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,73.0,76.0,95.0,-0.35835013887042255,0.04141402715038822,65,1986,13.0,19.5
ram,15784.0,60.90876837303598,9.86933779838706,29.0,43.0,47.0,51.0,53.0,55.0,57.0,58.0,59.0,61.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,73.0,76.0,95.0,-0.35835013887042255,0.04141402715038822,65,1986,13.0,19.5
lm,15784.0,61.64685757729346,9.344361240927059,29.0,44.0,49.0,52.0,54.0,56.0,58.0,59.0,60.0,61.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,71.0,73.0,76.0,92.0,-0.37582868552280974,0.05800602182455705,62,1986,12.0,18.0
lcm,15784.0,60.137607704004054,8.911396262131579,32.0,45.0,48.0,51.0,53.0,54.0,56.0,57.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,74.0,91.0,-0.11734314571721999,-0.12071638990753542,60,1986,12.0,18.0
cm,15784.0,60.137607704004054,8.911396262131579,32.0,45.0,48.0,51.0,53.0,54.0,56.0,57.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,74.0,91.0,-0.11734314571721999,-0.12071638990753542,60,1986,12.0,18.0
rcm,15784.0,60.137607704004054,8.911396262131579,32.0,45.0,48.0,51.0,53.0,54.0,56.0,57.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,71.0,74.0,91.0,-0.11734314571721999,-0.12071638990753542,60,1986,12.0,18.0
rm,15784.0,61.64685757729346,9.344361240927059,29.0,44.0,49.0,52.0,54.0,56.0,58.0,59.0,60.0,61.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,71.0,73.0,76.0,92.0,-0.37582868552280974,0.05800602182455705,62,1986,12.0,18.0
lwb,15784.0,59.42707805372529,9.046193823103522,33.0,44.0,47.0,50.0,51.600000000000364,53.0,55.0,56.0,57.0,59.0,60.0,61.0,62.0,63.0,65.0,66.0,67.0,69.0,71.0,74.0,89.0,-0.12083464459069551,-0.3575894849969177,57,1986,13.0,19.5
ldm,15784.0,58.74138367967562,10.160027075406473,30.0,41.0,45.0,47.0,49.0,51.0,53.0,55.0,56.0,58.0,60.0,61.0,62.0,64.0,65.0,66.0,68.0,69.0,71.0,74.0,90.0,-0.16896396617308285,-0.5074191200021434,60,1986,15.0,22.5
cdm,15784.0,58.74138367967562,10.160027075406473,30.0,41.0,45.0,47.0,49.0,51.0,53.0,55.0,56.0,58.0,60.0,61.0,62.0,64.0,65.0,66.0,68.0,69.0,71.0,74.0,90.0,-0.16896396617308285,-0.5074191200021434,60,1986,15.0,22.5
rdm,15784.0,58.74138367967562,10.160027075406473,30.0,41.0,45.0,47.0,49.0,51.0,53.0,55.0,56.0,58.0,60.0,61.0,62.0,64.0,65.0,66.0,68.0,69.0,71.0,74.0,90.0,-0.16896396617308285,-0.5074191200021434,60,1986,15.0,22.5
rwb,15784.0,59.42707805372529,9.046193823103522,33.0,44.0,47.0,50.0,51.600000000000364,53.0,55.0,56.0,57.0,59.0,60.0,61.0,62.0,63.0,65.0,66.0,67.0,69.0,71.0,74.0,89.0,-0.12083464459069551,-0.3575894849969177,57,1986,13.0,19.5
lb,15784.0,58.725101368474405,9.595580115574338,32.0,42.0,45.0,48.0,50.0,52.0,53.0,55.0,57.0,58.0,60.0,61.0,62.0,63.0,65.0,66.0,67.0,69.0,71.0,73.0,88.0,-0.17627239222061158,-0.5105118469740835,57,1986,14.0,21.0
lcb,15784.0,57.550557526609225,11.76673440105804,27.0,38.0,41.0,43.0,46.0,48.0,50.0,53.0,55.0,57.0,59.0,61.0,63.0,64.0,65.0,67.0,68.0,70.0,72.0,75.0,90.0,-0.2073674301622985,-0.8588711549872015,63,1986,19.0,28.5
cb,15784.0,57.550557526609225,11.76673440105804,27.0,38.0,41.0,43.0,46.0,48.0,50.0,53.0,55.0,57.0,59.0,61.0,63.0,64.0,65.0,67.0,68.0,70.0,72.0,75.0,90.0,-0.2073674301622985,-0.8588711549872015,63,1986,19.0,28.5
rcb,15784.0,57.550557526609225,11.76673440105804,27.0,38.0,41.0,43.0,46.0,48.0,50.0,53.0,55.0,57.0,59.0,61.0,63.0,64.0,65.0,67.0,68.0,70.0,72.0,75.0,90.0,-0.2073674301622985,-0.8588711549872015,63,1986,19.0,28.5
rb,15784.0,58.725101368474405,9.595580115574338,32.0,42.0,45.0,48.0,50.0,52.0,53.0,55.0,57.0,58.0,60.0,61.0,62.0,63.0,65.0,66.0,67.0,69.0,71.0,73.0,88.0,-0.17627239222061158,-0.5105118469740835,57,1986,14.0,21.0
price,16257.0,5157003.813741772,12251875.63709965,65000.0,235000.0,325000.0,416000.0,515000.0,620000.0,734000.0,856000.0,995000.0,1152000.0,1352000.0,1560000.0,1860000.0,2268000.0,2912000.0,4072000.0,5839200.000000005,8722400.00000001,13504799.999999989,21875199.999999985,255880000.0,7.127642610265682,77.84538245953554,4225,1513,3452000.0,5178000.0
playing_positions,17770.0,1.6491840180078785,0.7778452486259085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,0.9835473744064152,0.23242452288956894,4,0,1.0,1.5
term,16266.0,3.814275175212099,2.3917822896359255,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,30.0,1.8560816994194225,6.548536836961102,25,1504,3.0,4.5
